plywood, pren tair haen, celf,
modulus of elasticity, modwlws elastigedd, celf,
moist, llaith, celf,
moisture, lleithder, celf,
moisture content, cynnwys lleithder, celf,
moisture expansion, ymlediad lleithder, celf,
molten, tawdd, celf,
monel, monel, celf,
monestial blue, glas monestial, celf,
monk's belt pattern, patrwm gwregys y mynach, celf,
monochromatic, monocromatig, celf,
monochrome, monocrom, celf,
monogram, monogram, celf,
monograph, monograff, celf,
monomer, monomer, celf,
monopolise, monopoleiddio, celf,
monotone, monoton, celf,
monotype, monoteip, celf,
montage, montage, celf,
monument, cofadail, celf,
mood, naws, celf,
mood, awyrgylch, celf,
mood, hwyl, celf,
mordant, mordant, celf,
mosaic, mosaig, celf,
mosaic, mosaig, celf,
mosaic tile, teilsen fosaig, celf,
moss, mwsogl, celf,
moss size preservative, cadwolyn seis mwsogl, celf,
motif, motiff, celf,
motion, mudiant, celf,
motionless, llonydd, celf,
motte and bailey, tomen a beili, celf,
motte and bailey castle, castell tomen a beili, celf,
mottled, brith, celf,
mould, mowldio, celf,
moulding, mowldin, celf,
moulding bench, mainc fowldio, celf,
moulding sand, tywod mowldio, celf,
mount, mownt, celf,
mount, mowntio, celf,
mounted, mowntiedig, celf,
mounted lino block, bloc leino mowntiedig, celf,
mounting, mowntin, celf,
mounting board, bwrdd mowntio, celf,
mounting plate, plât mowntio, celf,
mouth, ceg, celf,
movable, symudol, celf,
movement, symudiad, celf,
moving shadows, cysgodion symudol, celf,
mucilage, mwcilag, celf,
muffle furnace, ffwrnais fwffwl, celf,
muffle loading kiln, odyn fwffl-lwytho, celf,
mulberry paper, papur morwydd, celf,
multi-chrome, lluosliw, celf,
multi-textured, amlwead, celf,
multi-tone, amldon, celf,
multichrome, amryliw, celf,
multiple graver, crafell luosbig, celf,
mural, murol, celf,
mural, murlun, celf,
mural brush, brwsh murlun, celf,
mural composition, cyfansoddiad murol, celf,
mural decorations, addurniadau murol, celf,
mural ground, grwnd murol, celf,
muscle, cyhyrol, celf,
muscle, cyhyr, celf,
museum, amgueddfa, celf,
muslin, mwslin, celf,
muted, tawel, celf,
muted colour, lliw tawel, celf,
myth, myth, celf,
mythical, mytholegol, celf,
nail, hoelen, celf,
nail, hoelio, celf,
nail punch, pwnsh hoelion, celf,
nail-head ornament, addurn pen hoelen, celf,
naked, noeth, celf,
naked figure, ffigur noeth, celf,
naphtha, nafftha, celf,
naphthalene, naffthalen, celf,
naples yellow, melyn napoli, celf,
narcissism, hunan-serch, celf,
narrative, traethiadol, celf,
narrative art, celfyddyd draethiadol, celf,
narrow, cul, celf,
narrow stroke, strôc gul, celf,
national costume, gwisg genedlaethol, celf,
native, brodorol, celf,
natural, naturiol, celf,
natural colour, lliw naturiol, celf,
natural environment, amgylchedd naturiol, celf,
natural fibre, ffibr naturiol, celf,
natural form, ffurf naturiol, celf,
natural grass, gwair naturiol, celf,
natural object, gwrthrych naturiol, celf,
natural twine, cortyn naturiol, celf,
naturalism, naturoliaeth, celf,
nature, natur, celf,
naïve, diniwed, celf,
near abstract, lled-haniaethol, celf,
neatness, taclusrwydd, celf,
needle, nodwydd, celf,
negative, negyddol, celf,
negative, negatif, celf,
negative, negatif, celf,
negative carving, cerfio negatif, celf,
negative image, delwedd negyddol, celf,
neo-gothic, neo-gothig, celf,
neo-impressionism, neoargraffiadaeth, celf,
neoclassical, neoglasurol, celf,
neoclassicism, neoglasuriaeth, celf,
net, rhwyd, celf,
neutral, niwtral, celf,
neutral colour, lliw niwtral, celf,
neutralize, niwtraleiddio, celf,
new blue, glas newydd, celf,
nickel, nicel, celf,
nickel bronze, efydd nicel, celf,
nickel plated, plât nicel, celf,
nihilism, nihiliaeth, celf,
nimbus, lleugylch, celf,
nipper, niper, celf,
nipping press, gwasg nipio, celf,
nitric acid, asid nitrig, celf,
nitro-cellulose, nitro-cellwlos, celf,
noble atmosphere, awyrgylch urddasol, celf,
non-figurative work, gwaith anffigurol, celf,
non-flammable, anfflamadwy, celf,
non-porous, difandwll, celf,
non-smudge, di-staen, celf,
non-smudge crayon, creon di-staen, celf,
non-toxic, diwenwyn, celf,
non-vitreous, anwydrog, celf,
norman castle, castell normanaidd, celf,
notch, rhic, celf,
notch, rhicio, celf,
notebook, nodiadur, celf,
notice, hysbysiad, celf,
notice, rhybudd, celf,
notice-board, hysbysfwrdd, celf,
nozzle, ffroenell, celf,
nude, noethlun, celf,
numeral, rhifolyn, celf,
nursery rhyme, hwiangerdd, celf,
nylon, neilon, celf,
nylon brush, brwsh neilon, celf,
nylon fishing line, lein bysgota neilon, celf,
nylon thread, edau neilon, celf,
obelisk, obelisg, celf,
object, gwrthrych, celf,
objective, gwrthrychol, celf,
objective art, celfyddyd wrthrychol, celf,
objective naturalism, naturiolaeth wrthrychol, celf,
objectivity, gwrthrychedd, celf,
oblique, arosgo, celf,
oblique aspect, agwedd arosgo, celf,
oblique projection, tafluniad arosgo, celf,
oblique reverse pen, pen arosgo croes, celf,
oblique stroke, strôc arosgo, celf,
oblong, petryal, celf,
oblong, petryal, celf,
oblong base, sylfaen betryal, celf,
oblong palette, palet petryal, celf,
observation, sylw, celf,
observe, sylwi, celf,
observed, dan sylw, celf,
observed forms, ffurfiau dan sylw, celf,
observed objects, gwrthrychau dan sylw, celf,
observer, gwyliwr, celf,
obsolete, anarferedig, celf,
obstacle, rhwystr, celf,
obtuse, aflem, celf,
obtuse angle, ongl aflem, celf,
ochre, ocr, celf,
oddments, pethau dros ben, celf,
odds and ends, tameidiau, celf,
off centre, allan o'r canol, celf,
off-cut, torbren, celf,
offset, atred, celf,
offset print, printiad offset, celf,
offset printing, argraffu offset, celf,
ogee, ogee, celf,
ogee arch, bwa ogee, celf,
ogham, ogam, celf,
ogham characters, llythrennau ogam, celf,
oil, olew, celf,
oil based, sail olew, celf,
oil based colour, lliw sail olew, celf,
oil based paint, paent sail olew, celf,
oil colour, lliw olew, celf,
oil crayon, creon olew, celf,
oil of turpentine, olew tyrpant, celf,
oil painting, paentiad olew, celf,
oil painting, peintio olew, celf,
oil paper, papur olew, celf,
oil pastel, pastel olew, celf,
oil stencil paper, papur olew stensil, celf,
oilproof, gwrtholew, celf,
oilproof paper, papur gwrtholew, celf,
oilstone, carreg hogi, celf,
oleaginous, olewog, celf,
olive green, gwyrdd olewydd, celf,
one-brush stroke, strôc brwsh un-strôc, celf,
one-stroke brush, brwsh un-strôc, celf,
onyx, onics, celf,
opacifier, didreiddydd, celf,
opacity, didreiddedd, celf,
opaque, di-draidd, celf,
opaque colour, lliw di-draidd, celf,
opaque enamel, enamel di-draidd, celf,
opaque glaze, gwydredd di-draidd, celf,
opaque paste, past di-draidd, celf,
open air, awyr agored, celf,
open-flame kiln, odyn fflam agored, celf,
opening, agoriad, celf,
operate, gweithredu, celf,
operator, gweithredwr, celf,
opinion, barn, celf,
opposite, cyferbyn, celf,
optical, optegol, celf,
optical art, celfyddyd optegol, celf,
optical illusion, rhith optegol, celf,
orange red, coch oren, celf,
organdie, organdi, celf,
organic, organig, celf,
organic matter, defnydd organig, celf,
organization, trefniadaeth, celf,
orientation, cyfeiriadaeth, celf,
orifice, agorfa, celf,
original, gwreiddiol, celf,
original design, cynllun gwreiddiol, celf,
original shape, ffurf wreiddiol, celf,
ornament, addurn, celf,
ornamental, addurnol, celf,
ornamentation, addurniad, celf,
orthogonal orifice, agorfa orthogonol, celf,
oscillate, osgiliadu, celf,
ostwald theory, theori ostwald, celf,
outdoor sketching, braslunio awyr agored, celf,
outdoor work, gwaith awyr agored, celf,
outdoors, awyr agored, celf,
outline, amlinellol, celf,
outline, amlinell, celf,
outline, amlinellu, celf,
outline stitch, pwyth amlinell, celf,
outside callipers, caliperau allanol, celf,
outward, allanol, celf,
oval, hirgrwn, celf,
oval base, sylfaen hirgrwn, celf,
oval shape, ffurf hirgron, celf,
over-firing, gordanio, celf,
over-print, tros-argraffu, celf,
overall, o ben i ben, celf,
overall dimensions, mesuriadau o ben i ben, celf,
overglaze, troswydro, celf,
overlap, gorgyffwrdd, celf,
overlay, troshaen, celf,
overlay, troshaenu, celf,
overpainting, trosbeintio, celf,
overtone, uwchdon, celf,
ovolo, ofolo, celf,
ox-blend, blew ych, celf,
ox-blend brush, brwsh blew ych, celf,
ox-ear hair brush, brwsh blew clust ych, celf,
ox-gall, bustl ych, celf,
ox-hair brush, brwsh blew ych, celf,
oxidation, ocsidiad, celf,
oxide, ocsid, celf,
oxidize, ocsidio, celf,
oxy-acetylene, ocsi-asetylen, celf,
oxygen, ocsigen, celf,
p.b. silimanite, silimanit p.b., celf,
pack, pac, celf,
pack, pacio, celf,
packing waste, gwastraff pacio, celf,
pad, pad, celf,
padding, padin, celf,
padding stitch, pwyth padio, celf,
pageant, pasiant, celf,
pageantry, pasiantri, celf,
paint, paent, celf,
paint, peintio, celf,
paint brush, brwsh paent, celf,
paint remover, tynnwr paent, celf,
paint solvent, hydoddydd paent, celf,
painter, peintiwr, celf,
painting, peintio, celf,
painting brush, brwsh peintio, celf,
painting knife, cyllell beintio, celf,
painting medium, cyfrwng peintio, celf,
paintwork, peintwaith, celf,
pairing, gwau â dwy wialen, celf,
pale, gwelw, celf,
pale, golau, celf,
pale cadmium yellow, melyn cadmiwm golau, celf,
pale chrome yellow, melyn crôm golau, celf,
pale colour, lliw golau, celf,
pale lemon yellow, melyn lemon golau, celf,
pale yellow, melyn golau, celf,
palette, palet, celf,
palette knife, cyllell balet, celf,
palm, cledr, celf,
palm, palmwydden, celf,
palpation, teimlad cyffyrddol, celf,
pan, padell, celf,
panchromatic, pancromatig, celf,
panel, panel, celf,
panel pin, pìn panel, celf,
panorama, panorama, celf,
panoramic, panoramig, celf,
pantograph, pantograff, celf,
paper, papuro, celf,
paper, papur, celf,
paper back, clawr papur, celf,
paper binding, rhwymyn papur, celf,
paper circle, cylch papur, celf,
paper clip, clip papur, celf,
paper cone, côn papur, celf,
paper fastener, pìn clymu papur, celf,
paper figure, ffigur papur, celf,
paper layer head, pen haenau papur, celf,
paper model, model papur, celf,
paper mosaic, mosaig papur, celf,
paper plate, plât papur, celf,
paper pulp, mwydion papur, celf,
paper varnish, farnais papur, celf,
paper-back edition, argraffiad clawr papur, celf,
papier mâché, mwydion papur, celf,
parabolical, parabolig, celf,
paraffin, paraffîn, celf,
parallel, cyflin, celf,
parallel, cyfochrog, celf,
parallel, paralel, celf,
parchment, memrwn, celf,
paring knife, cyllell blicio, celf,
parquet, parquet, celf,
particle, gronyn, celf,
parting off tool, erfyn partio, celf,
passive, goddefol, celf,
paste, past, celf,
paste brush, brwsh past, celf,
paste colour, lliw past, celf,
paste combing, cribo past, celf,
paste powder, powdr past, celf,
paste spreader, lledaenydd past, celf,
pastel, pastel, celf,
pastel fixative, sefydlyn pastel, celf,
patch, clytio, celf,
patina, patina, celf,
pattern, patrwm, celf,
pattern design, cynllun patrymol, celf,
pattern designer, dylunydd patrymau, celf,
pattern layout, cynllun gosod patrwm, celf,
pattern markings, marciau patrwm, celf,
pattern material, defnydd patrymog, celf,
patterned, patrymog, celf,
patterned paper, papur patrymog, celf,
patterned surface, arwyneb patrymog, celf,
payne's blue, glas payne, celf,
payne's grey, llwyd payne, celf,
paysage, tirlun, celf,
pearl glue, glud perl, celf,
pebble, cerigyn, celf,
pedal, pedal, celf,
pedal loom, gwŷdd pedal, celf,
pedestal, pedestal, celf,
pediment, pediment, celf,
peel, pilio, celf,
peeling, pilio, celf,
pelmet, pelmet, celf,
pen, ysgrifbin, celf,
pen and ink, pen ac inc, celf,
pen and wash, pen a golchiad, celf,
pen lettering, llythrennu pen, celf,
pencil, pensil, celf,
pencil sharpener, miniwr, celf,
pendant, crog, celf,
penetrable, treiddadwy, celf,
penetrate, treiddio, celf,
penetrating, treiddiol, celf,
penetration, treiddiad, celf,
penmanship, crefft ysgrifennu, celf,
pentagon, pentagon, celf,
perceive, canfod, celf,
perception, canfyddiad, celf,
perceptual, canfyddiadol, celf,
perch, clwyd, celf,
perforate, tyllu, celf,
perforated, tyllog, celf,
perforating wheel, olwyn dyllu, celf,
perforation, twll, celf,
perforator, tyllwr, celf,
performer, perfformiwr, celf,
perimeter, perimedr, celf,
period, cyfnod, celf,
period play, drama gyfnod, celf,
periphery, amgant, celf,
permanence, sefydlogrwydd, celf,
permanent, parhaol, celf,
permanent, sefydlog, celf,
permanent colour, lliw sefydlog, celf,
permeability, athreiddedd, celf,
permeable, athraidd, celf,
perpendicular, perpendicwlar, celf,
perpendicular arch, bwa perpendicwlar, celf,
perpendicular line, llinell blwm, celf,
personality, personoliaeth, celf,
perspective, persbectif, celf,
perspex, persbecs, celf,
perspex cement, sment persbecs, celf,
pestle, pestl, celf,
pestle and mortar, pestl a morter, celf,
petroleum spirit, gwirod petroliwm, celf,
phenol liquid, hylif ffenol, celf,
phial, ffiol, celf,
phosphorus, ffosfforws, celf,
photo story, ffotostori, celf,
photograph, ffotograff, celf,
photographic, ffotograffig, celf,
photographic image, delwedd ffotograffig, celf,
photography, ffotograffiaeth, celf,
photogravure, ffoto-ysgythru, celf,
photomontage, montage ffotograffig, celf,
physical, corfforol, celf,
physical, ffisegol, celf,
physiognomics, ffisionomeg, celf,
pickle, picl, celf,
pickle, piclo, celf,
pickle-bath tongs, gefel fath picl, celf,
pictograph, pictograff, celf,
pictography, pictograffeg, celf,
pictorial, darluniadol, celf,
pictorial art, celfyddyd ddarluniol, celf,
pictorial representation, portread darluniol, celf,
pictorial space, gofod darluniol, celf,
picture, darlun, celf,
picture frame, ffrâm ddarlun, celf,
picture plane, plân darlun, celf,
picture varnish, farnais darlun, celf,
picturesque, darluniaidd, celf,
pierce, trywanu, celf,
piercer, gwanydd, celf,
pigment, pigment, celf,
pillar, piler, celf,
pin, pìn, celf,
pin cushion, pincas, celf,
pincers, pinsiwrn, celf,
pinch, pinsiad, celf,
pinch, pinsio, celf,
pinch pottery, crochenwaith pinsiad, celf,
pinhole, twll pìn, celf,
pinking scissors, siswrn pincio, celf,
pinking shears, gwellaif pincio, celf,
pipe cleaner, glanhawr pibell, celf,
pitch, pyg, celf,
pitch block, blocyn pyg, celf,
pivot, colynnu, celf,
plagiarism, llên-ladrad, celf,
plaid, plad, celf,
plain finish, gorffeniad plaen, celf,
plain material, defnydd plaen, celf,
plait, pleth, celf,
plait, plethu, celf,
plan, cynllunio, celf,
plan, cynllun, celf,
planar engraving, ysgythriad planar, celf,
plane, plân, celf,
plane picture, darlun plân gwastad, celf,
plaque, plac, celf,
plaster, plastr, celf,
plaster, plastro, celf,
plaster and bandage, plastr a rhwymyn, celf,
plaster bat, bat plastr, celf,
plaster cast, cast plastr, celf,
plaster casting, castin plastr, celf,
plaster figure, ffigur plastr, celf,
plaster head, pen plastr, celf,
plaster of paris, plastr paris, celf,
plastic, plastig, celf,
plastic, plastig, celf,
plastic art, celfyddyd blastig, celf,
plastic bead, glain plastig, celf,
plastic beaker, bicer plastig, celf,
plastic bending, plygu plastig, celf,
plastic carving, cerfio plastig, celf,
plastic carving, cerfiad plastig, celf,
plastic colour, lliw plastig, celf,
plastic container, cynhwysydd plastig, celf,
plastic emulsion, emwlsiwn plastig, celf,
plastic figure, ffigur plastig, celf,
plastic filler, llenwad plastig, celf,
plastic foil, ffoil plastig, celf,
plastic heating, gwresogi plastig, celf,
plastic machining, peiriannu plastig, celf,
plastic material, defnydd plastig, celf,
plastic ruler, riwl blastig, celf,
plastic saucer, soser blastig, celf,
plastic sheeting, llen blastig, celf,
plastic spoon, llwy blastig, celf,
plasticine, plastisin, celf,
plasticity, plastigrwydd, celf,
plasticizer, plastigydd, celf,
plate, plât, celf,
plate glass, platwydr, celf,
platform, llwyfan, celf,
plating, platio, celf,
playboard, bwrdd chwarae, celf,
pleasing, dymunol, celf,
pliable, hyblyg, celf,
pliers, gefelen, celf,
plinth, plinth, celf,
plough, plaen llyfr-rwymwr, celf,
plumbago, plwmbago, celf,
plunge, plymio, celf,
ply, haen, celf,
plywood, pren haenog, celf,
plywood panel, panel pren haenog, celf,
pocket, pocedu, celf,
pocket, poced, celf,
point, pwyntio, celf,
point, pwynt, celf,
point of infinity, pwynt anfeidredd, celf,
pointed, pigfain, celf,
pointed arch, bwa pigfain, celf,
pointed scissors, siswrn pigfain, celf,
poise, cydbwysedd, celf,
poker, pocer, celf,
poker work, gwaith pocer, celf,
polish, llathredd, celf,
polish, llathrydd, celf,
polish, llathru, celf,
polish, caboli, celf,
polished, caboledig, celf,
polished, llathredig, celf,
polishing cloth, cadach llathru, celf,
polyclens, polyclens, celf,
polyester, polyester, celf,
polyester lacquer, lacr polyester, celf,
polyester resin, resin polyester, celf,
polyfilla, polyffila, celf,
polygon, polygon, celf,
polymer, polymer, celf,
polymer emulsion, emwlsiwn polymer, celf,
polymerization, polymeriad, celf,
polymerize, polymeru, celf,
polypropylene, polypropylen, celf,
polystyrene, polystyren, celf,
polythene, polythen, celf,
polyurethane varnish, farnais polywrethan, celf,
polyvinyl chloride, polyfinyl clorid, celf,
pony-hair brush, brwsh blew merlen, celf,
pop art, celfyddyd bop, celf,
poppy oil, olew pabi, celf,
popular, poblogaidd, celf,
porcelain, porslen, celf,
porch, porth, celf,
pore, mandwll, celf,
porosity, mandylledd, celf,
porous, mandyllog, celf,
porous ground, grwnd mandyllog, celf,
porous surface, arwyneb mandyllog, celf,
portable, cludadwy, celf,
portable easel, îsl cludadwy, celf,
portable screen, sgrin gludadwy, celf,
portland cement, sment portland, celf,
portrait, portread, celf,
portrait painter, paentiwr portreadau, celf,
portrait painting, paentiad portreadol, celf,
portrait painting, peintio portreadol, celf,
portrait study, astudiaeth bortreadol, celf,
portray, portreadu, celf,
pose, ystum, celf,
pose, sefyll mewn ystum, celf,
posed model, model mewn ystum arbennig, celf,
position, sefyllfa, celf,
position, safle, celf,
positive, cadarnhaol, celf,
positive, positif, celf,
positive image, delwedd bositif, celf,
post impressionism, ôl-argraffiadaeth, celf,
postage stamp, stamp post, celf,
poster, poster, celf,
poster colour, lliw posteri, celf,
poster paint, paent posteri, celf,
poster pen, pen posteri, celf,
poster-brush, brwsh poster, celf,
postural sense, synnwyr o osgo, celf,
posture, ymddaliad, celf,
pot, llestr, celf,
pot life, oes defnydd, celf,
potato cut, torlun taten, celf,
potato printing, printio â thaten, celf,
potential, potensial, celf,
potter, crochenydd, celf,
potter's apron, ffedog crochenydd, celf,
potter's clay, clai crochenydd, celf,
potter's wheel, olwyn crochenydd, celf,
pottery, crochenwaith, celf,
pottery, crochendy, celf,
pottery glaze, gwydredd crochenwaith, celf,
pour, arllwys, celf,
pouring gate, porthell arllwys, celf,
pouring method, dull arllwys, celf,
powder, powdr, celf,
powder colour, powdrliw, celf,
powder glaze, gwydredd powdr, celf,
powder pigment, pigment powdr, celf,
powdered clay, clai powdr, celf,
powdered enamel, enamel powdrog, celf,
powdered glue, glud powdr, celf,
powdery, powdrog, celf,
practical, ymarferol, celf,
practical approach, agwedd ymarferol, celf,
practical test, prawf ymarferol, celf,
practice, ymarfer, celf,
pre-ignition, cyn-daniad, celf,
pre-mix, blaen-gymysgiad, celf,
pre-raphaelite, cyn-raffaelaidd, celf,
pre-raphaelite, cyn-raffaeliad, celf,
pre-raphaelite brotherhood, brawdoliaeth y cyn-raffaeliaid, celf,
precaution, rhagofal, celf,
precise, trachywir, celf,
precision, manwl gywirdeb, celf,
precision, trachywiredd, celf,
precision trimmer, trimiwr trachywir, celf,
predominant, prif, celf,
predominate, rhagori, celf,
preliminary, rhagarweiniol, celf,
preliminary coat, cot gyntaf, celf,
preliminary drawing, lluniad rhagarweiniol, celf,
preliminary sketch, braslun rhagarweiniol, celf,
preparation, paratoad, celf,
preparatory, paratoadol, celf,
preparatory work, gwaith paratoadol, celf,
prepare, paratoi, celf,
presence, presenoldeb, celf,
presentation, cyflwyniad, celf,
preservative, cadwolyn, celf,
preservative, cyffeithydd, celf,
preserve, cadw, celf,
press, gwasg, celf,
press stud, styden wasg, celf,
press stud tool, erfyn styden wasg, celf,
pressed, gwasgedig, celf,
pressed clay, clai gwasgedig, celf,
pressure, gwasgedd, celf,
prevent, atal, celf,
prevention, rhwystro, celf,
prevention, ataliad, celf,
primary, cynradd, celf,
primary clay, clai sylfaenol, celf,
primary colour, lliw sylfaenol, celf,
prime, preimio, celf,
primed canvas, cynfas wedi'i breimio, celf,
primer paint, paent preimio, celf,
priming, preimio, celf,
primitive, cyntefig, celf,
primitivism, cyntefigedd, celf,
primrose yellow, melyn y friallen, celf,
print, printio, celf,
print, print, celf,
print, argraffu, celf,
printed, printiedig, celf,
printed fabric, ffabrig printiedig, celf,
printed image, delwedd brintiedig, celf,
printed pattern, patrwm print, celf,
printed textile, tecstil printiedig, celf,
printer, argraffydd, celf,
printer's ink, inc argraffydd, celf,
printing equipment, offer argraffu, celf,
printing ink, inc argraffu, celf,
printing material, defnydd argraffu, celf,
printing method, dull argraffu, celf,
printing press, gwasg argraffu, celf,
printing roller, rholer printio, celf,
printing stick, ffon argraffu â phren, celf,
printing unit, uned argraffu, celf,
prism, prism, celf,
procedure, trefn, celf,
process, proses, celf,
produce, cynnyrch, celf,
profile, proffil, celf,
profile view, golwg cernlun, celf,
profilm, proffilm, celf,
programme, rhaglen, celf,
progress, cynnydd, celf,
progression, dilyniant, celf,
project, taflunio, celf,
projection, tafluniad, celf,
projective, tafluniol, celf,
projective illusionism, rhithiolaeth dafluniol, celf,
projective realism, realaeth dafluniol, celf,
prolong, estyn, celf,
prolongation, estyniad, celf,
prominent, amlwg, celf,
proof, proflen, celf,
prop, ateg, celf,
propane, propan, celf,
property, priodwedd, celf,
proportion, cyfran, celf,
proportion, cyfrannedd, celf,
proportional, cyfraneddol, celf,
proscenium, prosceniwm, celf,
protect, amddiffyn, celf,
protection, amddiffyniad, celf,
protective, amddiffynnol, celf,
protective clothing, dillad gwarchod, celf,
protective coating, araen ddiogelu, celf,
protective film, ffilm warchod, celf,
protractor, onglydd, celf,
protrude, ymwthio allan, celf,
protrusion, ymwthiad allan, celf,
prussian blue, glas prwsia, celf,
psychotic art, celfyddyd seicotig, celf,
puddle, pwdlo, celf,
pug, cleio, celf,
pug mill, melin gleio, celf,
pulley, pwli, celf,
punch, pwnsh, celf,
puppet, pyped, celf,
puppet stage, llwyfan pypedau, celf,
puppet theatre, theatr bypedau, celf,
puppeteer, pypedwr, celf,
puppetry, pypedwaith, celf,
pure, pur, celf,
pure colour, lliw pur, celf,
pure white surface, arwyneb purwyn, celf,
purism, purdebaeth, celf,
purist, purydd, celf,
purple, porffor, celf,
purple brown, porffor brown, celf,
putty, pwti, celf,
pyramid, pyramid, celf,
pyramidal, pyramidaidd, celf,
pyrocouple, pyrocwpl, celf,
pyrometer, pyromedr, celf,
pyrometric, pyrometrig, celf,
pyrometric cone, côn pyrometrig, celf,
pyroxylin, pyrocsilin, celf,
quadrant, pedrant, celf,
quadrant arch, bwa pedrant, celf,
quadrilateral, pedrochr, celf,
quality, ansawdd, celf,
quarto, cwarto, celf,
quartz, cwarts, celf,
quench, trochoeri, celf,
quick drying, sychu'n gyflym, celf,
quill, cwilsen, celf,
quill brush, brwsh cwilsen, celf,
quill pen, pen cwilsen, celf,
quilt, cwilt, celf,
quilt, cwiltio, celf,
quilter, cwiltell, celf,
quilting, cwiltio, celf,
quilting frame, ffrâm gwiltio, celf,
quire, cwir, celf,
quirk, cwirc, celf,
rack, rac, celf,
raddle, radl, celf,
radial, rheiddiol, celf,
radial easel, îsl rheiddiol, celf,
radiant, pelydrol, celf,
radius, radiws, celf,
raffia, raffia, celf,
raffia weaving, plethu raffia, celf,
raffia work, gwaith raffia, celf,
rag, cerpyn, celf,
rag bag, bag carpiau, celf,
rag paper, papur lliain, celf,
raku, racw, celf,
randing, plethu, celf,
random, hap, celf,
range, amrediad, celf,
rap, cnoc, celf,
rap, cnocio, celf,
rapping iron, haearn cnocio, celf,
rasp, rhathell, celf,
rasp, rhathellu, celf,
ratchet, clicied ddannedd, celf,
ratchet easel, îsl clicied, celf,
ratchet screwdriver, tyrnsgriw clicied, celf,
ratio, cymhareb, celf,
rattan palm, palmwydden corsen, celf,
raw, crai, celf,
raw glaze, gwydredd crai, celf,
raw materials, deunyddiau crai, celf,
raw sienna, sienna crai, celf,
raw umber, wmber crai, celf,
rayon, reion, celf,
rayon cord, cord reion, celf,
re-touching varnish, farnais aildrwsio, celf,
reaction, adwaith, celf,
reactive dye, llifyn adweithiol, celf,
ready-made, parod, celf,
realism, realaeth, celf,
realistic, realistig, celf,
reality, realiti, celf,
ream, rîm, celf,
reasonable, rhesymol, celf,
rebind, ailrwymo, celf,
recede, encilio, celf,
receding colour, lliw enciliol, celf,
receptacle, llestr, celf,
recess, cilan, celf,
recessed, cilannog, celf,
recession, enciliad, celf,
recipe, rysáit, celf,
reciprocal, cilyddol, celf,
recommend, argymell, celf,
recommend, cymeradwyo, celf,
recommendation, argymhelliad, celf,
recommendation, cymeradwyaeth, celf,
record, cofnod, celf,
rectangle, petryal, celf,
rectangular, petryal, celf,
rectangular solid, solid petryal, celf,
red, coch, celf,
red clay, clai coch, celf,
red ochre, ocr coch, celf,
red sable, sabl coch, celf,
red sable brush, brwsh sabl coch, celf,
reddish, cochlyd, celf,
reduce, teneuo, celf,
reducing agent, rhydwythydd, celf,
reducing medium, cyfrwng teneuo, celf,
reed, corsen, celf,
reed hook, bach corsen, celf,
reed pen, pen corsen, celf,
reeding, corsenwaith, celf,
reel, ril, celf,
reference, cyfeirnod, celf,
refill, adlenwad, celf,
refill, adlenwi, celf,
refine, coethi, celf,
refine, puro, celf,
refined, coeth, celf,
refined linseed oil, olew had llin puredig, celf,
refinement, coethder, celf,
reflect, adlewyrchu, celf,
reflected, adlewyrchedig, celf,
reflected colour, lliw adlewyrchedig, celf,
reflected light, golau adlewyrchedig, celf,
reflection, adlewyrchiad, celf,
reflector, adlewyrchydd, celf,
refract, plygu, celf,
refraction, plygiant, celf,
refractory, gwrthsafol, celf,
refractory brick, bricsen wrthsafol, celf,
refute, gwrthbrofi, celf,
register, iawn luniad, celf,
regular, rheolaidd, celf,
regular solid, solid rheolaidd, celf,
rehearsal, ymarfer, celf,
reinforce, atgyfnerthu, celf,
reinforcement, atgyfnerthiad, celf,
rejoin, ailuno, celf,
related, perthynol, celf,
related shapes, ffurfiau perthynol, celf,
relax, ymlacio, celf,
release agent, cyfrwng rhyddhau, celf,
relevant, perthnasol, celf,
reliable, dibynadwy, celf,
relic, crair, celf,
relief, cerfwedd, celf,
relief, cerfweddol, celf,
relief carving, cerfiad cerfwedd, celf,
relief engraving, ysgythriad cerfwedd, celf,
relief etching, ysgythru cerfweddol, celf,
relief map, map tirwedd, celf,
relief mould, mowld cerfwedd, celf,
relief sculpture, cerflunwaith cerfweddol, celf,
remainder, gweddill, celf,
remote, pell, celf,
remove, symud, celf,
renaissance, dadeni, celf,
rendition, datganiad, celf,
renew, adnewyddu, celf,
renewal, adnewyddiad, celf,
renovate, adnewyddu, celf,
renovation, adnewyddiad, celf,
repair, atgyweiriad, celf,
repeat, ailadrodd, celf,
repeat pattern, patrwm ailadroddol, celf,
repel, gwrthyrru, celf,
repetition, ailadroddiad, celf,
replica, replica, celf,
represent, portreadu, celf,
represent, cynrychioli, celf,
represent a landscape, cynrychioli tirlun, celf,
representation, portread, celf,
representation, cynrychioliad, celf,
representational, portreadol, celf,
representational art, celfyddyd gynrychioliadol, celf,
reproduce, atgynhyrchu, celf,
reproduction, atgynhyrchiad, celf,
repulsion, gwrthyriad, celf,
required height, uchder gofynnol, celf,
resemblance, tebygrwydd, celf,
reservoir, cronfa, celf,
resilient, gwydn, celf,
resilient, adlamol, celf,
resin, resin, celf,
resinous, resinaidd, celf,
resinous ground, grwnd resinaidd, celf,
resist, gwrthsefyll, celf,
